src_player,dest_position,relation
690249:Brandini,Top,HAS_POSITION
690249:Levi,Jungle,HAS_POSITION
690249:Linsanity,Middle,HAS_POSITION
690249:Rikara,ADC,HAS_POSITION
690249:Stunt,Support,HAS_POSITION
690249:Dhokla,Top,HAS_POSITION
690249:Fanatiik,Jungle,HAS_POSITION
690249:Palafox,Middle,HAS_POSITION
690249:Eclipse,ADC,HAS_POSITION
690249:Gate,Support,HAS_POSITION
690250:Maxtrobo,Top,HAS_POSITION
690250:Moon,Jungle,HAS_POSITION
690250:Sun,Middle,HAS_POSITION
690250:Piglet,ADC,HAS_POSITION
690250:Vulcan,Support,HAS_POSITION
690250:zig,Top,HAS_POSITION
690250:Potluck,Jungle,HAS_POSITION
690250:bobqin,Middle,HAS_POSITION
690250:Benji,ADC,HAS_POSITION
690250:Sheep,Support,HAS_POSITION
700291:NintendudeX,Top,HAS_POSITION
700291:OddOrange,Jungle,HAS_POSITION
700291:Yusui,Middle,HAS_POSITION
700291:Lost,ADC,HAS_POSITION
700291:Adrian,Support,HAS_POSITION
700291:Ngo,Top,HAS_POSITION
700291:AnDa,Jungle,HAS_POSITION
700291:Pekin Woof,Middle,HAS_POSITION
700291:Erry,ADC,HAS_POSITION
700291:JayJ,Support,HAS_POSITION
700295:FallnBandit,Top,HAS_POSITION
700295:Wiggily,Jungle,HAS_POSITION
700295:Tuesday,Middle,HAS_POSITION
700295:Auto,ADC,HAS_POSITION
700295:Fill,Support,HAS_POSITION
700295:Shiro,Top,HAS_POSITION
700295:Blaber,Jungle,HAS_POSITION
700295:Jensen,Middle,HAS_POSITION
700295:Sneaky,ADC,HAS_POSITION
700295:Smoothie,Support,HAS_POSITION
700299:zig,Top,HAS_POSITION
700299:Potluck,Jungle,HAS_POSITION
700299:bobqin,Middle,HAS_POSITION
700299:Benji,ADC,HAS_POSITION
700299:Sheep,Support,HAS_POSITION
700299:Brandini,Top,HAS_POSITION
700299:Levi,Jungle,HAS_POSITION
700299:Linsanity,Middle,HAS_POSITION
700299:Rikara,ADC,HAS_POSITION
700299:Stunt,Support,HAS_POSITION
700301:Dhokla,Top,HAS_POSITION
700301:Fanatiik,Jungle,HAS_POSITION
700301:Palafox,Middle,HAS_POSITION
700301:Eclipse,ADC,HAS_POSITION
700301:Gate,Support,HAS_POSITION
700301:Maxtrobo,Top,HAS_POSITION
700301:Moon,Jungle,HAS_POSITION
700301:Sun,Middle,HAS_POSITION
700301:Piglet,ADC,HAS_POSITION
700301:Vulcan,Support,HAS_POSITION
700303:PieCakeLord,Top,HAS_POSITION
700303:MikeYeung,Jungle,HAS_POSITION
700303:Ablazeolive,Middle,HAS_POSITION
700303:MrRallez,ADC,HAS_POSITION
700303:Shady,Support,HAS_POSITION
700303:V1per,Top,HAS_POSITION
700303:Hard,Jungle,HAS_POSITION
700303:Insanity,Middle,HAS_POSITION
700303:Shoryu,ADC,HAS_POSITION
700303:Joey,Support,HAS_POSITION
1002530107:Profit,Top,HAS_POSITION
1002530107:Memento,Jungle,HAS_POSITION
1002530107:Blanc,Middle,HAS_POSITION
1002530107:HeaQ,ADC,HAS_POSITION
1002530107:Norskeren,Support,HAS_POSITION
1002530107:Smittyj,Top,HAS_POSITION
1002530107:Shook,Jungle,HAS_POSITION
1002530107:Selfie,Middle,HAS_POSITION
1002530107:Sheriff,ADC,HAS_POSITION
1002530107:promisq,Support,HAS_POSITION
1002540168:Alphari,Top,HAS_POSITION
1002540168:Maxlore,Jungle,HAS_POSITION
1002540168:Sencux,Middle,HAS_POSITION
1002540168:Hans Sama,ADC,HAS_POSITION
1002540168:Mikyx,Support,HAS_POSITION
1002540168:WhiteKnight,Top,HAS_POSITION
1002540168:Kold,Jungle,HAS_POSITION
1002540168:Exileh,Middle,HAS_POSITION
1002540168:Samux,ADC,HAS_POSITION
1002540168:Totoro,Support,HAS_POSITION
1002530128:Cabochard,Top,HAS_POSITION
1002530128:Gilius,Jungle,HAS_POSITION
1002530128:Jiizuke,Middle,HAS_POSITION
1002530128:Attila,ADC,HAS_POSITION
1002530128:Jactroll,Support,HAS_POSITION
1002530128:Ruin,Top,HAS_POSITION
1002530128:Djoko,Jungle,HAS_POSITION
1002530128:Betsy,Middle,HAS_POSITION
1002530128:Steeelback,ADC,HAS_POSITION
1002530128:SirNukesAlot,Support,HAS_POSITION
1002540191:Bwipo,Top,HAS_POSITION
1002540191:Broxah,Jungle,HAS_POSITION
1002540191:Caps,Middle,HAS_POSITION
1002540191:Rekkles,ADC,HAS_POSITION
1002540191:Hylissang,Support,HAS_POSITION
1002540191:Vizicsacsi,Top,HAS_POSITION
1002540191:Amazing,Jungle,HAS_POSITION
1002540191:Nukeduck,Middle,HAS_POSITION
1002540191:Upset,ADC,HAS_POSITION
1002540191:Vander,Support,HAS_POSITION
1002540201:Wunder,Top,HAS_POSITION
1002540201:Jankos,Jungle,HAS_POSITION
1002540201:Perkz,Middle,HAS_POSITION
1002540201:Hjarnan,ADC,HAS_POSITION
1002540201:Wadid,Support,HAS_POSITION
1002540201:Odoamne,Top,HAS_POSITION
1002540201:Xerxe,Jungle,HAS_POSITION
1002540201:Nisqy,Middle,HAS_POSITION
1002540201:Kobbe,ADC,HAS_POSITION
1002540201:kaSing,Support,HAS_POSITION
1002620023:Impact,Top,HAS_POSITION
1002620023:Xmithie,Jungle,HAS_POSITION
1002620023:Pobelter,Middle,HAS_POSITION
1002620023:Doublelift,ADC,HAS_POSITION
1002620023:Olleh,Support,HAS_POSITION
1002620023:Ssumday,Top,HAS_POSITION
1002620023:Meteos,Jungle,HAS_POSITION
1002620023:Ryu,Middle,HAS_POSITION
1002620023:Cody Sun,ADC,HAS_POSITION
1002620023:aphromoo,Support,HAS_POSITION
1002620033:Hauntzer,Top,HAS_POSITION
1002620033:Grig,Jungle,HAS_POSITION
1002620033:Bjergsen,Middle,HAS_POSITION
1002620033:Zven,ADC,HAS_POSITION
1002620033:Mithy,Support,HAS_POSITION
1002620033:Darshan,Top,HAS_POSITION
1002620033:Reignover,Jungle,HAS_POSITION
1002620033:huhi,Middle,HAS_POSITION
1002620033:Stixxay,ADC,HAS_POSITION
1002620033:Biofrost,Support,HAS_POSITION
1002620042:Solo,Top,HAS_POSITION
1002620042:LirA,Jungle,HAS_POSITION
1002620042:Febiven,Middle,HAS_POSITION
1002620042:Apollo,ADC,HAS_POSITION
1002620042:Hakuho,Support,HAS_POSITION
1002620042:Licorice,Top,HAS_POSITION
1002620042:Svenskeren,Jungle,HAS_POSITION
1002620042:Goldenglue,Middle,HAS_POSITION
1002620042:Keith,ADC,HAS_POSITION
1002620042:Zeyzal,Support,HAS_POSITION
1002620060:Lourlo,Top,HAS_POSITION
1002620060:Contractz,Jungle,HAS_POSITION
1002620060:Mickey,Middle,HAS_POSITION
1002620060:Deftly,ADC,HAS_POSITION
1002620060:Matt,Support,HAS_POSITION
1002620060:Dhokla,Top,HAS_POSITION
1002620060:Akaadian,Jungle,HAS_POSITION
1002620060:PowerOfEvil,Middle,HAS_POSITION
1002620060:Arrow,ADC,HAS_POSITION
1002620060:BIG,Support,HAS_POSITION
720742:Kiin,Top,HAS_POSITION
720742:Spirit,Jungle,HAS_POSITION
720742:Kuro,Middle,HAS_POSITION
720742:Kramer,ADC,HAS_POSITION
720742:TusiN,Support,HAS_POSITION
720742:Smeb,Top,HAS_POSITION
720742:Score,Jungle,HAS_POSITION
